GO_Biological_Process_2018.Term	GO_Biological_Process_2018.Overlap	GO_Biological_Process_2018.P.value	GO_Biological_Process_2018.Adjusted.P.value	GO_Biological_Process_2018.Old.P.value	GO_Biological_Process_2018.Old.Adjusted.P.value	GO_Biological_Process_2018.Odds.Ratio	GO_Biological_Process_2018.Combined.Score	GO_Biological_Process_2018.Genes
generation of neurons (GO:0048699)	37/130	0.992900636132144	1	0	0	0.742830182997219	0.00529243051400141	UNC119B;MTPN;DOCK7;HMGB2;PRUNE1;PCSK9;ARNTL;CDH1;CASP3;ADNP2;IER2;MARK2;MAP2K1;FZD3;CDKL5;FZD5;FZD4;RYK;USP9X;ELP3;THOC2;POMGNT2;RUNX2;RUNX1;CIT;NIF3L1;CDK6;CDK5;ID2;DDIT4;ID1;ID4;UNC119;ID3;CTNNB1;FGFR1;PAFAH1B1
regulation of endopeptidase activity (GO:0052548)	17/68	0.992903248542063	1	0	0	0.652485971551612	0.00464703978618004	CRB2;PRELID1;SERPINF1;NRDC;FURIN;A2ML1;PSMB8;PSMB9;PSMA3;PSME3;AKT1;ATP13A2;TIMP1;SERPINI1;GAPDH;BIRC2;PICALM
positive regulation of protein kinase B signaling (GO:0051897)	36/127	0.992928830357426	1	0	0	0.739826613412851	0.00525002334580475	KLB;ITGB1;CD80;IRS2;PTPRJ;PARK7;PIK3R1;TXN;PIK3CB;RTN4;PIK3CG;MTDH;MYDGF;FGF9;ERBB3;C1QBP;GCNT2;FYN;RICTOR;OSBPL8;TGFB1;INSR;GAB1;PTPN11;PTK2;VAV1;PINK1;KIT;HCLS1;SPRY2;ADAM8;GRB2;ITGB1BP1;GAS6;FGFR1;HBEGF
muscle filament sliding (GO:0030049)	8/38	0.992929659708743	1	0	0	0.549461870780305	0.00389868120372255	TMOD1;MYL4;TPM4;TPM3;TPM1;TNNI3;DMD;VIM
actin-myosin filament sliding (GO:0033275)	8/38	0.992929659708743	1	0	0	0.549461870780305	0.00389868120372255	TMOD1;MYL4;TPM4;TPM3;TPM1;TNNI3;DMD;VIM
epithelium development (GO:0060429)	32/115	0.993125621056295	1	0	0	0.726245255292229	0.00500972425928337	ACADVL;TAGLN;PCNA;LOXL3;PKD2;DNPH1;PKD1;CNN3;LGALS3;PTER;CASP6;PGK1;ANXA7;JAK2;FN3K;GSTK1;CBR1;TGFB1;VDR;STAT1;PIH1D1;ANXA4;ACTL8;AHI1;BDH2;MTHFD1;WT1;RARA;TAGLN2;VDAC1;TPP1;VCL
skeletal system morphogenesis (GO:0048705)	6/31	0.993247591815284	1	0	0	0.505150429588344	0.00342255017152329	WWOX;WDR60;LRP5;RARA;MEGF8;FGFR1
regulation of cytokine secretion (GO:0050707)	6/31	0.993247591815284	1	0	0	0.505150429588344	0.00342255017152329	RGCC;BTN2A2;C5AR2;GLMN;GAPDH;LGR4
extracellular matrix disassembly (GO:0022617)	20/78	0.993527799247837	1	0	0	0.669216381078576	0.00434538006911608	EXOC8;ADAM10;FURIN;LAMC1;HSPG2;CTSS;BMP1;ADAM15;CDH1;CTSL;MMP15;CTSK;BSG;FLOT1;ADAM8;TIMP1;LCP1;TPSAB1;CD44;FBN1
negative regulation of inflammatory response (GO:0050728)	20/78	0.993527799247837	1	0	0	0.669216381078576	0.00434538006911608	CHID1;CUEDC2;GSTP1;PRKCD;GBA;TNFAIP3;RORA;NOD1;METRNL;SHARPIN;OTULIN;TYRO3;NLRP2;PDCD4;VPS35;APOE;PPARA;SMPDL3B;PTPN2;PPARD
positive regulation of multicellular organismal process (GO:0051240)	61/202	0.993651768301575	1	0	0	0.788151371577194	0.00501931632197055	DOCK5;TFRC;NUMA1;TGFB1I1;SCX;ENO1;RBPJ;METRNL;HYAL1;C1QBP;FLOT1;CTSH;SOX6;ACVR1;SLC11A1;NCOA3;MST1;RBM19;NME2;SIRT1;TGFBR2;VAMP8;TRIM16;PFN1;GAS6;CRB2;LRP1;ROCK1;ACVR1B;HIF1A;AGPAT2;RTN4;HDAC6;PPM1F;LRP6;CYP27B1;SNX4;GCNT2;INPP5K;PLCG1;TP53BP1;RREB1;CLASP2;SMAD2;WWTR1;SMAD4;TGFB1;SMAD3;VDR;EIF2AK2;ABCA7;RAB11A;MTOR;CCDC88B;RGCC;BMP1;AGO2;SNAI1;CTNNB1;PICALM;EIF4G1
gland development (GO:0048732)	19/75	0.993792181916721	1	0	0	0.661185784505633	0.0041173141015444	PHF2;THRB;THRA;CITED2;CEBPG;PCSK9;AKR1B1;ARID5B;MSN;LSR;PKD2;GFER;ARHGAP35;SLC9A3R1;WT1;RARA;NF1;HES1;FADD
determination of left/right symmetry (GO:0007368)	9/42	0.993914167065502	1	0	0	0.559273689901381	0.00341404546602651	GALNT11;MKKS;ARL6;CITED2;LRRC6;PKD2;MEGF8;CFAP53;DAND5
negative regulation of cysteine-type endopeptidase activity (GO:2000117)	18/72	0.994077331535137	1	0	0	0.652485971551612	0.00387594742699219	YWHAE;CAST;CDKN2D;BEX3;CARD8;SIAH2;DHCR24;TNFRSF10A;TRIAP1;TNFRSF1B;CST7;AQP1;CST3;RPS6KA1;AKT1;GAS6;CD44;SNCA
regulation of epithelial cell proliferation (GO:0050678)	18/72	0.994077331535137	1	0	0	0.652485971551612	0.00387594742699219	CDKN1C;CDKN2B;TGFB1;MAGED1;TINF2;NME2;PEX2;LAMB1;LAMC1;NR1D1;MTSS1;NME1;PBLD;ZFP36;CDK6;HYAL1;MYC;STRAP
renal system development (GO:0072001)	14/59	0.994109538756778	1	0	0	0.619308718760852	0.00365880062765218	MME;TRAF3IP1;ITGB4;STAT1;ARL3;C1GALT1;PCSK9;LRP4;PKD1;SULF2;NUP93;PYGO1;WT1;CEP55
regulation of pathway-restricted SMAD protein phosphorylation (GO:0060393)	14/59	0.994109538756778	1	0	0	0.619308718760852	0.00365880062765218	ACVR1;GDF11;SMAD4;TGFB1;GDF15;HFE;BMP8B;SMAD6;PBLD;GDF9;TWSG1;SNX25;CSNK2B;STRAP
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	32/116	0.994293997872975	1	0	0	0.719984520332813	0.00411999877574212	CD81;CD80;GATA1;LRP8;ERBB3;ABL1;HES1;JAK2;IL6R;PIBF1;PAK2;LYN;PRNP;PTPN1;TGFB1;SEMA4D;RIPK2;TNK2;STAT3;LIF;PARP14;PARP9;TEC;DGKQ;KIT;UNC119;HCLS1;ITGA5;ARHGEF2;IL6ST;GAS6;CD44
regulation of endothelial cell migration (GO:0010594)	17/69	0.994383481435279	1	0	0	0.643029653123327	0.00362176839679272	SCARB1;BCAS3;SP100;PDCD6;FLT4;EMP2;PRKCA;PTK2;SH3BP1;KRIT1;ABL1;NF1;ITGB1BP1;CALR;GPLD1;SASH1;BCAR1
neuromuscular synaptic transmission (GO:0007274)	4/24	0.994424352009152	1	0	0	0.434990647701074	0.00243214143160058	FCHSD1;FCHSD2;CHRNA5;KIF1B
sensory perception of pain (GO:0019233)	4/24	0.994424352009152	1	0	0	0.434990647701074	0.00243214143160058	P2RX7;P2RX4;MME;NIPSNAP1
regulation of transmembrane transport (GO:0034762)	4/24	0.994424352009152	1	0	0	0.434990647701074	0.00243214143160058	NEDD4;BCL2;NEDD4L;WWP2
calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules (GO:0016338)	3/20	0.99449793787223	1	0	0	0.391491582930967	0.00215995858898223	CLDN20;CLDN15;CLDN7
androgen metabolic process (GO:0008209)	3/20	0.99449793787223	1	0	0	0.391491582930967	0.00215995858898223	SRD5A1;SRD5A3;HSD17B4
branching involved in ureteric bud morphogenesis (GO:0001658)	3/20	0.99449793787223	1	0	0	0.391491582930967	0.00215995858898223	WT1;MYC;PKD2
dorsal/ventral pattern formation (GO:0009953)	3/20	0.99449793787223	1	0	0	0.391491582930967	0.00215995858898223	TBX20;AIDA;NBL1
dopaminergic neuron differentiation (GO:0071542)	3/20	0.99449793787223	1	0	0	0.391491582930967	0.00215995858898223	RYK;CTNNB1;LRP6
ureteric bud morphogenesis (GO:0060675)	3/20	0.99449793787223	1	0	0	0.391491582930967	0.00215995858898223	WT1;MYC;PKD2
embryonic digestive tract development (GO:0048566)	3/20	0.99449793787223	1	0	0	0.391491582930967	0.00215995858898223	NIPBL;CXCL8;ID2
regulation of BMP signaling pathway (GO:0030510)	13/56	0.994566167498147	1	0	0	0.605879830726497	0.00330122681817013	CRB2;SMAD2;SMAD4;NUMA1;PCSK6;RBPJ;SMAD6;LEMD2;HIPK2;NBL1;SKIL;DAND5;TRIM33
cardiac muscle cell action potential involved in contraction (GO:0086002)	5/28	0.994691739398288	1	0	0	0.466061408251151	0.0024805649943282	KCNH2;RYR2;NEDD4L;ATP1A1;GPD1L
neural crest cell migration (GO:0001755)	5/28	0.994691739398288	1	0	0	0.466061408251151	0.0024805649943282	SEMA4D;SEMA4C;SEMA3G;SEMA3E;PHACTR4
positive regulation of peptide hormone secretion (GO:0090277)	8/39	0.994756512783321	1	0	0	0.535373104862861	0.00281460767692513	PSMD9;GLUD1;HFE;IRS2;SELENOT;TM7SF3;SOX4;MCU
cellular response to cytokine stimulus (GO:0071345)	149/456	0.99502178609622	1	0	0	0.852810611940264	0.00425607628639639	IL1RN;NDUFA13;CSF1;ZFAND6;CD80;INPPL1;HNRNPU;RORA;MT1X;CIB1;MYLK3;CRKL;ICAM1;CRHBP;ZFP36;MT2A;TBK1;CCND1;MYC;KHSRP;PIM1;AKT1;JUNB;IL6R;IFNAR2;IL4R;CISH;DAPK1;FOXH1;TXLNA;CDC34;FSCN1;PRTN3;IL6ST;ZNF675;IFNAR1;DHX9;NPR2;HTRA2;CSF2RB;PHB;PIK3R1;FOXO3;HIF1A;ZFP36L2;HSP90B1;SOCS2;BAG4;UBB;IRAK2;INPP5D;TPR;INPP5K;SOCS6;SOCS4;MCL1;SOCS5;STAT5A;HSPA8;PNPT1;TGFB1;SMAD3;POU2F1;LIF;CDK9;FER;LRCH1;BCL6;IL7;BCL2;GRB2;SLC26A6;BCL2L1;ITGB1;GSK3A;CXCL8;DOCK8;LRRC4;PIK3CB;PTPN23;BRCA1;YBX3;IKBKB;SYNCRIP;TRIM6;HYAL1;CASP3;HYAL3;TIMP1;CD36;JAK2;JAK1;HSP90AA1;ANXA1;MME;IFNGR1;IFNGR2;RPL13A;RTN4RL2;IL16;IRAK3;FOS;GAB2;TNFRSF1B;SIRT1;YWHAZ;ASPN;RHOA;VAV1;FCER2;IRF1;KIT;RAPGEF1;HCLS1;ARHGEF2;GAS6;CACTIN;GAPDH;USP10;GBA;AKAP6;IL2RG;CBL;TANK;LRP8;MUC1;ALOX5;STAT6;FYN;STX3;CD58;PTPN18;IL10RB;STAT1;STAT2;STAT3;ERBIN;PTPN11;PTPN12;UBE2G2;TEC;PTPN9;PTPN6;PLP2;PTPN7;VIM;PTPN4;RBMX;PTPN2
positive regulation of tyrosine phosphorylation of STAT protein (GO:0042531)	12/53	0.995048026667399	1	0	0	0.590930691216554	0.0029335424458943	LYN;KIT;STAT3;LIF;HCLS1;HES1;JAK2;PARP9;IL6ST;PARP14;IL6R;PIBF1
negative regulation of leukocyte activation (GO:0002695)	1/11	0.995086432013668	1	0	0	0.237267626018768	0.00116870422237008	CD84
myosin filament assembly (GO:0031034)	1/11	0.995086432013668	1	0	0	0.237267626018768	0.00116870422237008	MYOM2
calcium ion regulated exocytosis (GO:0017156)	1/11	0.995086432013668	1	0	0	0.237267626018768	0.00116870422237008	ARHGAP17
response to axon injury (GO:0048678)	1/11	0.995086432013668	1	0	0	0.237267626018768	0.00116870422237008	RTN4RL2
positive regulation of chondrocyte differentiation (GO:0032332)	1/11	0.995086432013668	1	0	0	0.237267626018768	0.00116870422237008	SOX6
phosphate ion homeostasis (GO:0055062)	1/11	0.995086432013668	1	0	0	0.237267626018768	0.00116870422237008	GPCPD1
negative regulation of T cell differentiation (GO:0045581)	1/11	0.995086432013668	1	0	0	0.237267626018768	0.00116870422237008	IRF1
heart process (GO:0003015)	1/11	0.995086432013668	1	0	0	0.237267626018768	0.00116870422237008	TNNI3
regulation of serine-type endopeptidase activity (GO:1900003)	1/11	0.995086432013668	1	0	0	0.237267626018768	0.00116870422237008	CR1
icosanoid secretion (GO:0032309)	1/11	0.995086432013668	1	0	0	0.237267626018768	0.00116870422237008	PNPLA8
protein carboxylation (GO:0018214)	1/11	0.995086432013668	1	0	0	0.237267626018768	0.00116870422237008	PROS1
regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:1903587)	1/11	0.995086432013668	1	0	0	0.237267626018768	0.00116870422237008	PDCD10
peptidyl-glutamic acid carboxylation (GO:0017187)	1/11	0.995086432013668	1	0	0	0.237267626018768	0.00116870422237008	PROS1
positive regulation of interferon-gamma biosynthetic process (GO:0045078)	1/11	0.995086432013668	1	0	0	0.237267626018768	0.00116870422237008	CEBPG
negative regulation of blood vessel diameter (GO:0097756)	1/11	0.995086432013668	1	0	0	0.237267626018768	0.00116870422237008	KEL
cellular response to prostaglandin stimulus (GO:0071379)	1/11	0.995086432013668	1	0	0	0.237267626018768	0.00116870422237008	GNG2
postsynapse assembly (GO:0099068)	1/11	0.995086432013668	1	0	0	0.237267626018768	0.00116870422237008	LRP4
negative regulation of bone mineralization (GO:0030502)	1/11	0.995086432013668	1	0	0	0.237267626018768	0.00116870422237008	BCOR
synaptic transmission, dopaminergic (GO:0001963)	1/11	0.995086432013668	1	0	0	0.237267626018768	0.00116870422237008	CRHBP
positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557)	6/32	0.995125034961679	1	0	0	0.489364478663709	0.00239146863521603	ARFGEF2;ADAM8;FADD;ARHGEF2;JAK2;HLA-E
activation of adenylate cyclase activity (GO:0007190)	6/32	0.995125034961679	1	0	0	0.489364478663709	0.00239146863521603	CAP1;GNAL;GIPR;ADORA2B;ADCY3;ADCY7
positive regulation of secretion (GO:0051047)	2/16	0.995203976459921	1	0	0	0.326242985775806	0.00156843317441498	GPLD1;AQP1
negative regulation of response to wounding (GO:1903035)	2/16	0.995203976459921	1	0	0	0.326242985775806	0.00156843317441498	INPP5F;CASK
regulation of water loss via skin (GO:0033561)	2/16	0.995203976459921	1	0	0	0.326242985775806	0.00156843317441498	STMN1;ALOX12
cardiac ventricle development (GO:0003231)	2/16	0.995203976459921	1	0	0	0.326242985775806	0.00156843317441498	HES1;DAND5
hexose transport (GO:0008645)	2/16	0.995203976459921	1	0	0	0.326242985775806	0.00156843317441498	SLC2A13;SLC50A1
positive regulation of myotube differentiation (GO:0010831)	2/16	0.995203976459921	1	0	0	0.326242985775806	0.00156843317441498	EHD1;FLOT1
bone morphogenesis (GO:0060349)	2/16	0.995203976459921	1	0	0	0.326242985775806	0.00156843317441498	LRP5;RARA
cardiac epithelial to mesenchymal transition (GO:0060317)	2/16	0.995203976459921	1	0	0	0.326242985775806	0.00156843317441498	PDCD4;RBPJ
regulation of acrosome reaction (GO:0060046)	2/16	0.995203976459921	1	0	0	0.326242985775806	0.00156843317441498	ZP3;CACNA1H
positive regulation of positive chemotaxis (GO:0050927)	2/16	0.995203976459921	1	0	0	0.326242985775806	0.00156843317441498	CXCL8;PGF
mesenchyme development (GO:0060485)	2/16	0.995203976459921	1	0	0	0.326242985775806	0.00156843317441498	HMGA2;PKD2
dendritic cell chemotaxis (GO:0002407)	2/16	0.995203976459921	1	0	0	0.326242985775806	0.00156843317441498	HMGB1;PIK3CG
establishment of skin barrier (GO:0061436)	2/16	0.995203976459921	1	0	0	0.326242985775806	0.00156843317441498	STMN1;ALOX12
regulation of dopamine secretion (GO:0014059)	2/16	0.995203976459921	1	0	0	0.326242985775806	0.00156843317441498	PRKN;SNCA
cell chemotaxis (GO:0060326)	14/60	0.995426028150448	1	0	0	0.608986906781504	0.00279187883458608	DOCK4;ABCC1;PRKCD;HMGB2;RHOG;FPR3;PIK3CB;CORO1B;BIN2;KIT;PIP5K1A;PRKCQ;BCAR1;HBEGF
blood circulation (GO:0008015)	11/50	0.995552535333422	1	0	0	0.574187654965418	0.00255937490026082	NANOS1;NFE2;GCLC;STAT1;NOS3;NPY1R;MTHFR;ADM;ITGB1BP1;TNNI3;GCLM
regulation of potassium ion transport (GO:0043266)	7/36	0.995623111499452	1	0	0	0.507489088984587	0.00222609841160754	NANOS1;KCNH2;CD63;DLG1;KIF5B;KCNAB2;ANK3
regulation of cysteine-type endopeptidase activity (GO:2000116)	7/36	0.995623111499452	1	0	0	0.507489088984587	0.00222609841160754	CST3;BEX3;FYN;CST7;BIRC2;BBC3;PSMB9
cellular metal ion homeostasis (GO:0006875)	25/96	0.995956466229756	1	0	0	0.679672887032929	0.00275385167733107	RYR2;SLC24A1;STOML2;SLC24A3;ATP2A2;SLC41A1;NEDD4L;ATP1A1;ATP2C1;TMEM165;TNNI3;ATP2B4;RMDN3;ATP1B3;SLC30A1;ATP1B2;ATP2B1;TPCN2;ATOX1;VAPB;TESMIN;ATP13A2;ATP13A3;CALR;LETMD1
central nervous system development (GO:0007417)	65/217	0.996047077569229	1	0	0	0.781780426743866	0.00309644142115534	ROBO2;NCKAP1;COX7B;THRA;FMR1;CHD8;ROGDI;CHD7;ATN1;LOXL3;PTEN;JRKL;PKD2;GBA2;PKD1;NIPBL;ADGRA2;CDK5RAP1;SOX4;CDK5RAP3;SH3GL1;MAP1S;SOX12;EML1;HSPG2;TGFBR2;ALDH3A2;VCAN;BTD;ALDH5A1;PITPNM1;B3GNT5;DDIT4;NDUFS4;RARA;PRKN;ABCB6;GSTP1;ADAM22;SPATA5;GRIN2A;ADGRG1;PDGFC;MBP;CSK;FYN;NPTX1;LYN;EIF2B5;STAT3;WWP1;CTNS;ELP3;PTPN11;AHI1;RNF103;CDK5;PPT1;NF1;PLXNB2;TPP1;SERPINI1;RAB3GAP1;FGFR1;ZPR1
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	10/47	0.996075831880057	1	0	0	0.555307209831159	0.00218340568246393	CRB2;CD164;ALCAM;CXADR;CADM4;GYPC;PVR;NECTIN2;ICAM1;NECTIN1
positive regulation of pathway-restricted SMAD protein phosphorylation (GO:0010862)	10/47	0.996075831880057	1	0	0	0.555307209831159	0.00218340568246393	ACVR1;GDF11;GDF9;SMAD4;TWSG1;TGFB1;GDF15;HFE;CSNK2B;BMP8B
regulation of interleukin-10 production (GO:0032653)	4/25	0.996131300897225	1	0	0	0.417591021793031	0.00161866710209518	HMGB1;CD46;AGER;PIBF1
peptide hormone secretion (GO:0030072)	4/25	0.996131300897225	1	0	0	0.417591021793031	0.00161866710209518	CYB5R4;LTBP4;PARK7;CAMK2G
negative regulation of epithelial to mesenchymal transition (GO:0010719)	4/25	0.996131300897225	1	0	0	0.417591021793031	0.00161866710209518	PTEN;STRAP;ADIPOR1;PBLD
positive regulation of phosphatidylinositol 3-kinase activity (GO:0043552)	4/25	0.996131300897225	1	0	0	0.417591021793031	0.00161866710209518	TGFB1;KIT;ATG14;PTK2
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	15/64	0.996150974344339	1	0	0	0.611705598329636	0.00235901341127019	ITGB1;ROBO2;CD84;CADM4;GYPC;PVR;CELSR2;PKD1;CDH6;CDH1;NPTN;PLXNB2;DSG2;NECTIN2;NECTIN1
negative regulation of cytokine biosynthetic process (GO:0042036)	3/21	0.996280636045873	1	0	0	0.372849126600921	0.00138934694992233	ZFP36;TRIB2;ASB1
regulation of macrophage activation (GO:0043030)	3/21	0.996280636045873	1	0	0	0.372849126600921	0.00138934694992233	TNIP2;MYO18A;TLR6
response to nicotine (GO:0035094)	3/21	0.996280636045873	1	0	0	0.372849126600921	0.00138934694992233	CHRNA5;BCL2;MAPK1
limb morphogenesis (GO:0035108)	3/21	0.996280636045873	1	0	0	0.372849126600921	0.00138934694992233	NIPBL;MEGF8;LRP6
lipid catabolic process (GO:0016042)	3/21	0.996280636045873	1	0	0	0.372849126600921	0.00138934694992233	STS;PPT1;CES2
embryonic skeletal system development (GO:0048706)	3/21	0.996280636045873	1	0	0	0.372849126600921	0.00138934694992233	WDR60;MEGF8;SULF2
positive regulation of T cell proliferation (GO:0042102)	14/61	0.996461958228912	1	0	0	0.599003514867053	0.00212305740810771	ANXA1;TFRC;SYK;CD80;HMGB1;AGER;CCDC88B;PNP;NCKAP1L;FADD;IL6ST;CD46;ZP3;NCK1
regulation of neurotransmitter receptor activity (GO:0099601)	6/33	0.996496890067137	1	0	0	0.474535252037536	0.00166526766873474	APP;CRHBP;DAPK1;MINK1;SHISA7;SHANK2
brain development (GO:0007420)	32/119	0.996788664784439	1	0	0	0.701833650072322	0.00225744977306949	ROBO2;ABCB6;THRA;CHD8;ROGDI;PTEN;SPATA5;GRIN2A;ADGRG1;NIPBL;CDK5RAP1;CDK5RAP3;BBS4;BBS2;MKKS;MAP1S;CTNS;PTPN11;EML1;HSPG2;TGFBR2;PITPNM1;B3GNT5;DDIT4;NDUFS4;PPT1;NF1;RARA;PLXNB2;SHANK2;RAB3GAP1;PAFAH1B1
positive regulation of smooth muscle cell proliferation (GO:0048661)	7/37	0.996815584225058	1	0	0	0.493773167660679	0.00157488794632141	ERN1;JUN;FGF9;STAT1;ID2;AKT1;IL6R
positive regulation of monocyte chemotaxis (GO:0090026)	2/17	0.996874027914797	1	0	0	0.307052221906641	0.000961340019465734	ANO6;HMGB1
positive regulation of striated muscle cell differentiation (GO:0051155)	2/17	0.996874027914797	1	0	0	0.307052221906641	0.000961340019465734	TGFB1;MYLK3
cardiac atrium morphogenesis (GO:0003209)	2/17	0.996874027914797	1	0	0	0.307052221906641	0.000961340019465734	NOTCH2;TBX20
negative regulation of signal transduction (GO:0009968)	87/283	0.99688988084197	1	0	0	0.802350240635904	0.00249929342277441	EPHB6;GSK3A;CXCL8;YWHAB;PDCD6;CHD8;LRRK2;CBY3;FLT4;PTEN;TNFAIP3;PTPRJ;ARRB1;MED12;CRHBP;HHEX;UBASH3B;CHAC1;UBASH3A;EPHB4;PHACTR4;NCK1;ACVR1;EGFL7;TLE1;CISH;PRKCB;FBXW7;PRKCD;METTL3;TSC2;TSC1;IRAK3;RPGRIP1L;DDIT4;KIT;TMBIM1;TYRO3;PRKCQ;ROR2;TRIB1;CACTIN;SMPDL3B;EPHA3;PLIN5;HBEGF;LRRC14;KANK2;KANK1;MTMR2;LEPROT;LRP1;MGRN1;GBA;GATA2;NLK;SOCS2;SLC9A3R1;UBB;ERBB3;INPP5K;SOCS5;SNCA;LYN;NTRK1;WWOX;PTPN1;PTPN18;YTHDF2;RYK;INSR;CARD8;NFATC1;WWP2;PTPN12;SULF2;ASXL1;PTPRE;KIF26A;NEDD4;BCL2;SPRY2;CALR;MEGF8;LGR4;PTPN2;FGFR1
negative regulation of cell communication (GO:0010648)	19/78	0.996891021614904	1	0	0	0.635755562024647	0.00197962920978393	EPHB6;ACVR1;NTRK1;PTPN1;RYK;FLT4;INSR;LIF;UBASH3B;ERBB3;KIF26A;KIT;TYRO3;UBASH3A;ROR2;EPHB4;EPHA3;SOCS5;FGFR1
cell wall macromolecule catabolic process (GO:0016998)	1/12	0.996969290165523	1	0	0	0.217495323850537	0.000660166108986555	MANBA
positive regulation of cardiocyte differentiation (GO:1905209)	1/12	0.996969290165523	1	0	0	0.217495323850537	0.000660166108986555	TGFB1
phasic smooth muscle contraction (GO:0014821)	1/12	0.996969290165523	1	0	0	0.217495323850537	0.000660166108986555	PTGER3
response to prostaglandin E (GO:0034695)	1/12	0.996969290165523	1	0	0	0.217495323850537	0.000660166108986555	GNG2
plasminogen activation (GO:0031639)	1/12	0.996969290165523	1	0	0	0.217495323850537	0.000660166108986555	PGK1
regulation of interleukin-8 biosynthetic process (GO:0045414)	1/12	0.996969290165523	1	0	0	0.217495323850537	0.000660166108986555	BCL10
response to interleukin-6 (GO:0070741)	1/12	0.996969290165523	1	0	0	0.217495323850537	0.000660166108986555	PHB
negative regulation of epithelial cell differentiation (GO:0030857)	1/12	0.996969290165523	1	0	0	0.217495323850537	0.000660166108986555	GSK3A
skeletal muscle cell differentiation (GO:0035914)	1/12	0.996969290165523	1	0	0	0.217495323850537	0.000660166108986555	LEMD2
negative regulation of RNA biosynthetic process (GO:1902679)	1/12	0.996969290165523	1	0	0	0.217495323850537	0.000660166108986555	NIF3L1
negative regulation of myoblast differentiation (GO:0045662)	1/12	0.996969290165523	1	0	0	0.217495323850537	0.000660166108986555	TGFB1
positive regulation of granulocyte macrophage colony-stimulating factor production (GO:0032725)	1/12	0.996969290165523	1	0	0	0.217495323850537	0.000660166108986555	CD80
retinoid metabolic process (GO:0001523)	18/75	0.997079040027214	1	0	0	0.626386532689547	0.001832327371625	LRP1;RETSAT;SDC4;SDC3;LPL;HSPG2;LRP8;SCPEP1;RDH11;CYP4V2;RDH10;ALDH1A1;E2F1;CYP1B1;GPC2;GPC5;APOE;AGRN
odontogenesis (GO:0042476)	8/41	0.997154815454614	1	0	0	0.509257343650038	0.00145099628009525	HDAC2;TUFT1;ROGDI;LAMB1;BCOR;AQP3;LRP6;AQP1
positive regulation of cAMP metabolic process (GO:0030816)	4/26	0.997327258002632	1	0	0	0.401529828647146	0.00107462237096685	ADM;CALM3;CALM1;CALM2
regulation of muscle contraction (GO:0006937)	4/26	0.997327258002632	1	0	0	0.401529828647146	0.00107462237096685	TPM1;PLCE1;SRI;ENO1
fat-soluble vitamin metabolic process (GO:0006775)	4/26	0.997327258002632	1	0	0	0.401529828647146	0.00107462237096685	CYP27B1;CBR1;UBE2I;VDR
T cell activation involved in immune response (GO:0002286)	4/26	0.997327258002632	1	0	0	0.401529828647146	0.00107462237096685	SLC11A1;EIF2AK4;LCP1;ICAM1
endocrine system development (GO:0035270)	4/26	0.997327258002632	1	0	0	0.401529828647146	0.00107462237096685	THRB;THRA;WT1;NF1
